GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
00037	Abbeville, LA Urban Cluster	C	29222205	300492	      11.283	       0.116	 29.967224	 -92.096238                                                                                                    
00064	Abbeville, SC Urban Cluster	C	11271121	19786	       4.352	       0.008	 34.179237	 -82.379726                                                                                                     
00091	Abbotsford, WI Urban Cluster	C	5363429	13221	       2.071	       0.005	 44.948612	 -90.315875                                                                                                     
00118	Aberdeen, MS Urban Cluster	C	7416532	52820	       2.864	       0.020	 33.824742	 -88.554591                                                                                                       
00145	Aberdeen, SD Urban Cluster	C	33124147	120864	      12.789	       0.047	 45.463186	 -98.471033                                                                                                     
00172	Aberdeen, WA Urban Cluster	C	39997936	1929704	      15.443	       0.745	 46.976365	-123.796056                                                                                                    
00199	Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area	U	339741558	9829171	     131.175	       3.795	 39.508976	 -76.303431                                                                    
00226	Abernathy, TX Urban Cluster	C	3051272	12572	       1.178	       0.005	 33.830523	-101.846278                                                                                                      
00253	Abilene, KS Urban Cluster	C	8773261	1877	       3.387	       0.001	 38.921060	 -97.220754                                                                                                         
00280	Abilene, TX Urbanized Area	U	141767010	988193	      54.737	       0.382	 32.428784	 -99.747194                                                                                                    
00334	Abingdon, IL Urban Cluster	C	3739679	0	       1.444	       0.000	 40.804175	 -90.401522                                                                                                           
00388	Ada, OH Urban Cluster	C	4755114	0	       1.836	       0.000	 40.767231	 -83.824660                                                                                                                
00415	Ada, OK Urban Cluster	C	30913537	89141	      11.936	       0.034	 34.774803	 -96.669103                                                                                                           
00450	Adams, NY Urban Cluster	C	5100413	13914	       1.969	       0.005	 43.808664	 -76.021178                                                                                                          
00469	Adel, GA Urban Cluster	C	15656519	192796	       6.045	       0.074	 31.145731	 -83.429099                                                                                                         
00496	Adel, IA Urban Cluster	C	4596484	0	       1.775	       0.000	 41.612188	 -94.021031                                                                                                               
00550	Adjuntas, PR Urban Cluster	C	20440931	156184	       7.892	       0.060	 18.166604	 -66.729934                                                                                                     
00577	Adrian, MI Urban Cluster	C	62198645	614809	      24.015	       0.237	 41.914128	 -84.049721                                                                                                       
00604	Agat, GU Urban Cluster	C	12699268	2939	       4.903	       0.001	 13.391080	+144.669527                                                                                                           
00631	Aguadilla--Isabela--San Sebastián, PR Urbanized Area	U	619709460	899857	     239.271	       0.347	 18.370709	 -67.040996                                                                          
00658	Ahoskie, NC Urban Cluster	C	7548519	0	       2.914	       0.000	 36.287867	 -76.983286                                                                                                            
00676	Air Force Academy, CO Urban Cluster	C	6459852	0	       2.494	       0.000	 38.985935	-104.858324                                                                                                  
00712	Ajo, AZ Urban Cluster	C	6906720	0	       2.667	       0.000	 32.388728	-112.868912                                                                                                                
00739	Akron, NY Urban Cluster	C	6779977	0	       2.618	       0.000	 43.020471	 -78.493346                                                                                                              
00766	Akron, OH Urbanized Area	U	842796632	17396157	     325.406	       6.717	 41.066225	 -81.491897                                                                                                    
00793	Alachua, FL Urban Cluster	C	9780469	31222	       3.776	       0.012	 29.791204	 -82.507945                                                                                                        
00820	Alamogordo, NM Urban Cluster	C	42873361	54166	      16.553	       0.021	 32.902756	-105.949613                                                                                                    
00847	Alamosa, CO Urban Cluster	C	18820656	39885	       7.267	       0.015	 37.459931	-105.872135                                                                                                       
00901	Albany, GA Urbanized Area	U	183487063	2790603	      70.845	       1.077	 31.591097	 -84.168827                                                                                                    
00921	Albany, MN Urban Cluster	C	4336929	285660	       1.674	       0.110	 45.630888	 -94.569355                                                                                                        
00955	Albany, OR Urbanized Area	U	61927886	299240	      23.910	       0.116	 44.630090	-123.090051                                                                                                      
00970	Albany--Schenectady, NY Urbanized Area	U	765873723	16254599	     295.706	       6.276	 42.743895	 -73.799436                                                                                      
00982	Albemarle, NC Urban Cluster	C	44466747	63396	      17.169	       0.024	 35.369088	 -80.196358                                                                                                     
01009	Albert Lea, MN Urban Cluster	C	25516480	1396608	       9.852	       0.539	 43.654568	 -93.373855                                                                                                  
01036	Albertville, AL Urban Cluster	C	92829216	5174684	      35.842	       1.998	 34.268074	 -86.223507                                                                                                 
01063	Albia, IA Urban Cluster	C	5597696	0	       2.161	       0.000	 41.027003	 -92.805176                                                                                                              
01090	Albion, MI Urban Cluster	C	17102229	135557	       6.603	       0.052	 42.252722	 -84.755330                                                                                                       
01117	Albion, NY Urban Cluster	C	7638316	0	       2.949	       0.000	 43.245788	 -78.193603                                                                                                             
01144	Albion, PA Urban Cluster	C	7434016	56074	       2.870	       0.022	 41.890344	 -80.355166                                                                                                         
01171	Albuquerque, NM Urbanized Area	U	648869943	8956529	     250.530	       3.458	 35.141344	-106.628890                                                                                               
01198	Alderson, WV Urban Cluster	C	3439408	92304	       1.328	       0.036	 37.727925	 -80.649268                                                                                                       
01225	Aledo, IL Urban Cluster	C	5741920	30085	       2.217	       0.012	 41.198542	 -90.745194                                                                                                          
01232	Aledo, TX Urban Cluster	C	12119581	173952	       4.679	       0.067	 32.680947	 -97.647372                                                                                                        
01252	Alexander City, AL Urban Cluster	C	25158650	65442	       9.714	       0.025	 32.939745	 -85.957946                                                                                                
01279	Alexandria, LA Urbanized Area	U	169682382	905527	      65.515	       0.350	 31.260637	 -92.506129                                                                                                 
01306	Alexandria, MN Urban Cluster	C	38396439	7474819	      14.825	       2.886	 45.900999	 -95.368300                                                                                                  
01333	Alfred, NY Urban Cluster	C	3117022	0	       1.203	       0.000	 42.256634	 -77.784266                                                                                                             
01360	Algoma, WI Urban Cluster	C	4753372	106286	       1.835	       0.041	 44.607208	 -87.444363                                                                                                        
01387	Algona, IA Urban Cluster	C	6887318	16085	       2.659	       0.006	 43.072716	 -94.228677                                                                                                         
01414	Alice, TX Urban Cluster	C	28171290	0	      10.877	       0.000	 27.752400	 -98.075031                                                                                                             
01441	Allegan, MI Urban Cluster	C	12221347	147540	       4.719	       0.057	 42.530023	 -85.849978                                                                                                      
01468	Allendale, SC Urban Cluster	C	5948739	0	       2.297	       0.000	 33.008841	 -81.311258                                                                                                          
01495	Allentown, PA--NJ Urbanized Area	U	896592861	10698628	     346.176	       4.131	 40.651207	 -75.441903                                                                                            
01522	Alliance, NE Urban Cluster	C	12053041	31691	       4.654	       0.012	 42.100596	-102.874020                                                                                                      
01549	Alliance, OH Urban Cluster	C	45952612	276796	      17.742	       0.107	 40.914526	 -81.096740                                                                                                     
01603	Alma, GA Urban Cluster	C	7398739	274038	       2.857	       0.106	 31.541885	 -82.469694                                                                                                          
01630	Alma--St. Louis, MI Urban Cluster	C	19249735	406947	       7.432	       0.157	 43.390767	 -84.641478                                                                                              
01657	Almont, MI Urban Cluster	C	3793260	1570	       1.465	       0.001	 42.921599	 -83.039777                                                                                                          
01684	Alpena, MI Urban Cluster	C	24506343	1830291	       9.462	       0.707	 45.063072	 -83.453033                                                                                                      
01711	Alpine, TX Urban Cluster	C	10815927	335	       4.176	       0.000	 30.358305	-103.664632                                                                                                          
01738	Altavista, VA Urban Cluster	C	14411328	124082	       5.564	       0.048	 37.113627	 -79.294132                                                                                                    
01765	Alton, IL--MO Urbanized Area	U	141982469	2001641	      54.820	       0.773	 38.897792	 -90.128014                                                                                                 
01792	Altoona, PA Urbanized Area	U	96848721	168682	      37.394	       0.065	 40.485263	 -78.393865                                                                                                     
01819	Alturas, CA Urban Cluster	C	4934765	16517	       1.905	       0.006	 41.489183	-120.546287                                                                                                        
01846	Altus, OK Urban Cluster	C	31472099	521227	      12.151	       0.201	 34.652723	 -99.310867                                                                                                        
01873	Alva, OK Urban Cluster	C	6804489	0	       2.627	       0.000	 36.801099	 -98.664668                                                                                                               
01900	Alvarado, TX Urban Cluster	C	7362427	19915	       2.843	       0.008	 32.412725	 -97.216759                                                                                                       
01927	Amarillo, TX Urbanized Area	U	210823472	1121377	      81.399	       0.433	 35.197528	-101.849137                                                                                                  
01981	American Falls, ID Urban Cluster	C	3702302	0	       1.429	       0.000	 42.782364	-112.853171                                                                                                     
02008	Americus, GA Urban Cluster	C	31439182	139046	      12.139	       0.054	 32.072568	 -84.229191                                                                                                     
02035	Amery, WI Urban Cluster	C	5343693	1111059	       2.063	       0.429	 45.306570	 -92.364724                                                                                                        
02062	Ames, IA Urbanized Area	U	59823121	506395	      23.098	       0.196	 42.031532	 -93.633771                                                                                                        
02116	Amite City, LA Urban Cluster	C	18158237	40581	       7.011	       0.016	 30.733723	 -90.520800                                                                                                    
02143	Amory, MS Urban Cluster	C	14384773	27224	       5.554	       0.011	 33.984789	 -88.480010                                                                                                         
02153	Amouli, AS Urban Cluster	C	12119259	0	       4.679	       0.000	-14.265560	-170.589772                                                                                                            
